3,12,600,450
3,14,600,600
3,17,780,620
3,27,764,1337
3,34,550,1300
3,44,1020,1500
3,45,1000,1350
2,133,970,1400
2,140,500,1350
12,201,975,250
12,202,975,250
4,106,260,1000
4,108,260,1250
4,110,260,1500
4,114,260,2000
4,121,1000,1680
4,120,1000,2000
4,145,1000,350
4,146,1600,300
4,147,1600,550
10,111,2500,1700
10,114,2200,1300
10,115,2500,1150
10,116,2800,1350
5,212,150,950
5,214,150,1300
5,216,150,1920
5,218,530,2050
5,220,900,2100
5,221,900,1700
5,231,1250,210
5,234,1400,210
11,211,2350,1850
11,212,2300,1250
11,213,2600,1600
11,214,2600,1020
11,215,2840,1400
6,312,150,970
6,314,150,1300
6,316,150,2000
6,317,500,1500
6,318,500,2050
6,320,900,2000
6,321,800,1500
6,331,1275,230
1,101,750,150
1,102,750,420
1,106,750,1000
1,107,750,1350
1,119,450,800
1,125,450,1300
7,400,700,1300
7,403,150,1250
7,404,260,1020
7,405,375,1000
7,406,150,1000
7,407,150,700
7,408,150,500
7,416,620,1000
7,417,975,1040
7,418,775,1035
8,122,800,650
8,127,1450,1050
8,128,1330,1050
8,129,1160,1035
8,130,930,1100
9,200,1280,300
9,228,100,1000
9,229,100,700
9,233,600,265
9,235,1000,265
8,128,1293,1036
